Player,Games Played,Points,Rebounds,Assists,Steals
Player A,32,602,103,142,67
Player B,32,426,103,60,27
Player C,32,384,75,21,18
Player D,32,307,148,89,47
Player E,32,305,230,59,71
,18,97,71,22,17
,32,159,127,31,23
,14,54,60,1,3
,29,92,30,15,14
,2,3,1,0,0
,14,9,12,1,3
,13,4,6,1,0
,2,0,0,0,0
